ENTERTAINMENT/SHOPPING/LIFESTYLE,HOME IMPROVEMENT AND DECOR,,172100,"['curtains', 'wall painting', 'table lamps', 'wall decor', 'sofa', 'floor', 'home decor', 'carpenter', 'couch', 'furnishing', 'cushion', 'wood work', 'interior', 'furniture', 'carpet']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,AMUSEMENT PARK,,172200,"['water park', 'amusement park','imagica']"
ENTERTAINMENT/SHOPPING/LIFESTYLE,FINANCIAL MAGAZINES ,,172300,"['money today', 'money monitor', 'outlook money', 'forbes', 'business world', 'business today', 'business india']"
INCOME/EXPENSE,MISC INCOME OR EXPENSE,,180000,[]
INCOME/EXPENSE,SALARY,,180100,"['salaries sep', 'sal neft jul', 'sal neft apr', 'salry', 'sal', 'sal neft jun', 'dec sal', 'sal neft sep', 'nov sal', 'jan sal', 'jul sal', 'sal jun', 'salaries', 'sal jul', 'sal neft', 'salaries aug', 'aug sal', 'sal neft oct', 'salaries may', 'sep sal', 'sal jan', 'oct sal', 'full final', 'incentive', 'sal may', 'income', 'apr sal', 'sal neft nov', 'sal mar', 'jun sal', 'salaries jan', 'salaries jun', 'salaries oct', 'payout', 'sal nov', 'salaries jul', 'sal neft feb', 'sal sep', 'stipend', 'sal aug', 'salaries feb', 'sal oct', 'salaries dec', 'salaries mar', 'feb sal', 'salaries nov', 'sal neft aug', 'salary account', 'salary', 'salaries apr', 'sal neft may', 'mar sal', 'slary', 'sal apr', 'sal neft mar', 'sal neft jan', 'sal dec', 'sal feb', 'may sal', 'sal neft dec','remuneration']"
INCOME/EXPENSE,BONUS,,180200,"['special salary', 'premium', 'special compensation', 'bonus', 'arrear', 'honorarium', 'allowance']"
INCOME/EXPENSE,INTEREST,,180300,['interest']
INCOME/EXPENSE,FD OR RD PROCEEDS,,180400,"['fd proceeds', 'fixed deposit proceeds', 'recurring deposits proceeds', 'fd return']"
INCOME/EXPENSE,DIVIDEND,,180500,['dividend']
INCOME/EXPENSE,REIMBURSEMENT,,180600,"['refund', 'reimbursement', 'return', 'recompensate','cashback', 'reimburse', 'reimbuse', 'petrol allowance', 'reimb', 'refundinitiate' ,'reinbursement']"
INCOME/EXPENSE,INTEREST REV,,180700,"['mf proceeds', 'mutual fund proceeds','mf redeem']"
INCOME/EXPENSE,POS SETTLEMENT,,180800,"['pos pymt', 'pos payment']"
INCOME/EXPENSE,CASH PICKUP CHARGES,,180900,"['CASHPICKUP CHGS','MONTHLY COLL CHGS'] "
INCOME/EXPENSE,CASH COLLECTION,,181000,['CMS Coll CASH'] 
EDUCATION ,MISC EDUCATION,,190000,"['unacademy', 'udemy', 'tuiton', 'college', 'education', 'ruzuku', 'teachable', 'easy campus', 'wiziq', 'coaching', 'educadium', 'tution', 'academy', 'coursera', 'tuition', 'vidyalaya', 'course craft', 'skillshare', 'class', 'school', 'learnworld', 'insititute', 'university', 'classes', 'byju', 'studies']"
EDUCATION ,SCHOOL COLLEGE FEE,,190100,"['school tution fees', 'coaching fees','school fee', 'education fees', 'college fee', 'school fees', 'coaching fee', 'semester fees', 'school tuition fee', 'semester fee', 'institute fee', 'education fee', 'school tuition fees', 'tution fees', 'college fees', 'school tution fee', 'study fees', 'institute fees', 'study fee']"
EDUCATION ,TUITION FEE,,190200,['tuition']
EDUCATION ,HOSTEL FEE,,190300,"['hostel fees', 'hostel rent', 'hostel', 'mess fee', 'hostel fee']"
EDUCATION ,PLAYSCHOOL,,190400,"['klay', 'play school', 'creche']"
DINING,DINING MISC,,200000,"['coffee bar', 'coffee', 'diner', 'coffee shops', 'food', 'outlets', 'dining', 'fast food', 'cafe', 'restaurants']"
DINING,RESTAURANTS/DINING/ FAST FOODS/ CAFES,,200100,"['fish', 'dosa', 'prawn', 'burger', 'fast food', 'dhokla', 'chicken', 'cafe', 'tandoori', 'mutton', 'dining', 'rice', 'pizza', 'food', 'briyani', 'paneer', 'outlets', 'momo', 'pasta', 'diner', 'tandoor', 'restaurants']"
DINING,COFFEE SHOPS,,200200,"['coffee bar', 'coffee', 'blue tokai', 'coffee shops']"
DINING,FOOD DELIVERY,,200300,"['eat fit', 'online food order', 'foodpanda', 'uber eats', 'faasos', 'box8', 'zomato', 'swiggy', 'food delivery']"
MAINTENANCE,MISC MAINTENANCE,,210000,"['repairing', 'repair', 'maintainance', 'maintainence']"
MAINTENANCE,HOME/SOCIETY MAINTENANCE,,210100,"['house maintenance', 'building maintenance', 'plumber', 'chs ltd', 'electrician', 'flat maintenance', 'home maintenance', 'society maintenance', 'room maintenance', 'housing soc']"
MAINTENANCE,OFFICE MAINTENANCE,,210200,['office maintenance']
LOGISTICS,LOGISTICS,,220000,"['logistics', 'distribution']"
LOGISTICS,ON DEMAND DELIVERY,,221000,['on demand delivery']
BUSINESS PL,BUSINESS MISCELLANEOUS,,230000,"['business', 'busines miscellaneous', 'business misc']"
BUSINESS PL,ADVERTISING,,230100,"['tv promotion', 'marketing', 'advertisment', 'tv ad', 'advertising', 'promotion', 'ads']"
BUSINESS PL,SALES,,230200,"['business sales', 'sales']"
BUSINESS PL,CONSULTING AND SERVICES,,230300,"['consulting', 'consulting services', 'profession', 'consultancy', 'consultants', 'consultation', 'professional']"
BANK CHARGES,BANK CHARGES,,240000,['bank charge']
BANK CHARGES,RECOVERY OR REVERSAL,,240100,"['recovery', 'reversal']"
BANK CHARGES,ACCOUNT CLOSURES,,240200,['account closure']
CREDIT CARD PAYMENTS,CREDIT CARD PAYMENTS,,250000,"['yes cc', 'amex card', 'cc bill', 'credit card payments', 'cc payment', 'axis card', 'citibc', 'amex cc', 'creditcard', 'cc', 'card bill', 'card payment', 'sbi card', 'cc pyt', 'inducc', 'cc pymnt', 'credit card', 'sbiccs', 'icicic', 'citi card', 'icici card', 'card payments', 'citi credit', 'axis cc', 'hdfc credit card', 'credit card payment', 'cc payments', 'cc pymt', 'hdfc cc']"
BROKERAGE,BROKERAGE,,260000,"['brokerage', 'brokering', 'broker', 'brok']"
CASH DEPOSIT,CASH DEPOSIT,,270000,"['money deposit', 'cash deposits']"
CASH DEPOSIT,BNA CASH DEPOSIT,,270100,['bna cash deposit','bnacashdeposit','bnacashdeposityesbank']
CASH WITHDRAWALS,CASH WITHDRAWALS,,280000,"['cash withdraw', 'cash withdrawals']"
TRAVEL AND HOSPITALITY,TRAVEL,,290000,"['suites', 'airways', 'travel', 'hotel', 'tour', 'air', 'airport', 'visa', 'motels', 'holiday', 'trip', 'inn']"
TRAVEL AND HOSPITALITY,AIRLINES AND TRAVEL,,290100,"['flight', 'jet', 'airways', 'airlines', 'air', 'airport', 'aeroplane', 'airplane']"
TRAVEL AND HOSPITALITY,AIRPORT LOUNGES,,290200,"['lounge', 'airport lounge', 'travel club', 'diners club','priority lounge']"
TRAVEL AND HOSPITALITY,FOREX PURCHASE,,290300,"['forex', 'travel card','weizmann']"
TRAVEL AND HOSPITALITY,HOTELS AND HOSPITALITY,,290400,"['suites', 'hotel', 'oyo room', 'oyo', 'inn', 'motels','airbnb']"
TRAVEL AND HOSPITALITY,VISA FEE,,290500,"['visa', 'vfs', 'visa fees', 'visa fee']"
TRAVEL AND HOSPITALITY,TRAIN,,290600,"['railway ticket', 'irctc', 'train', 'rail', 'railway']"
TRAVEL AND HOSPITALITY,BUS,,290700,"['bus', 'red bus','shuttl','cityflo']"
VENDOR/ SUPPLIER PAYMENT,VENDOR OR SUPPLIER PAYMENT,,300000,"['supplier', 'supplier payment' , 'vendor', 'vendor payment', 'purchase order']"
CHIT FUNDS,CHIT FUNDS,,310000,['chit fund']
VEHICLE RUNNING EXPENSES,VEHICLE RUNNING EXPENSES,,320000,['vehicle running expense']
VEHICLE RUNNING EXPENSES,AUTO MAINTENANCE EXPENSES,,320100,"['auto maintenance', 'car maintenance', 'bike maintenance', 'car wash', 'car dent', 'car repair', 'car paint', 'car clean', 'tyre', 'vehicle maintenance']"
